CustomerID,Gender,Age,Tenure,ContractType,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,TechSupport,StreamingTV,OnlineSecurity,PaperlessBilling,Churn,app_usage_frequency,last_login_days,last_recharge_days,avg_monthly_data_usage_gb,data_usage_trend,call_drop_rate,avg_network_quality_score,support_tickets_last_3m,last_support_sentiment,preferred_channel,secondary_channel,best_performing_channel,worst_performing_channel,sms_open_rate,email_open_rate,whatsapp_read_rate,channel_click_through_rate,avg_response_latency_hours,dnd_flag,email_clicks_last_30d,whatsapp_replies_last_30d,sms_ctr_last_30d,campaign_fatigue_score,last_campaign_response,geo_segment,income_proxy_segment,device_category,household_type
CUST06253,Male,62,55,Month-to-month,DSL,52.93,2866.0,Credit card,Yes,Yes,No,No,1,low,49,32,41.49,increasing,0.156,2.21,4,neutral,call,call,call,whatsapp,0.69,0.26,0.34,0.01,41.0,1,17,11,0.2,0.13,ignored,rural,low,mid-range,single
CUST04685,Female,38,25,One year,DSL,54.82,1382.58,Credit card,No,No,Yes,No,0,high,11,81,44.91,stable,0.027,4.67,4,neutral,email,email,sms,email,0.35,0.17,0.6,0.11,39.89,0,15,6,0.16,0.44,converted,rural,middle,mid-range,single
CUST01732,Male,25,36,One year,Fiber optic,102.5,3695.56,Mailed check,Yes,No,No,Yes,0,medium,48,44,7.87,decreasing,0.107,4.13,3,negative,call,whatsapp,email,sms,0.81,0.07,0.38,0.24,59.74,1,4,14,0.22,0.3,ignored,urban,low,budget,single
CUST04743,Female,44,70,Month-to-month,Fiber optic,73.92,5179.21,Credit card,No,No,Yes,Yes,0,medium,0,62,28.15,decreasing,0.103,1.44,5,positive,call,call,email,email,0.58,0.27,0.4,0.25,51.3,1,16,0,0.24,0.37,converted,rural,low,mid-range,shared
CUST04522,Male,48,34,Month-to-month,DSL,47.02,1667.08,Credit card,No,Yes,Yes,Yes,1,medium,47,41,6.32,increasing,0.172,4.99,0,positive,whatsapp,whatsapp,sms,whatsapp,0.2,0.48,0.71,0.05,2.4,1,1,2,0.09,0.24,converted,semi-urban,low,premium,shared
CUST06341,Female,24,9,One year,Fiber optic,61.91,526.28,Mailed check,No,No,No,Yes,1,high,47,23,33.94,stable,0.093,4.52,5,positive,call,whatsapp,sms,sms,0.21,0.34,0.56,0.23,4.04,1,5,14,0.03,0.76,converted,semi-urban,high,budget,family
CUST00577,Male,79,38,One year,No,30.18,1169.69,Mailed check,No,Yes,No,Yes,0,low,46,68,14.78,stable,0.077,2.14,5,positive,whatsapp,email,email,call,0.65,0.27,0.9,0.04,43.51,1,14,4,0.06,0.93,converted,semi-urban,high,budget,single
CUST05203,Male,53,18,Month-to-month,Fiber optic,48.05,881.86,Electronic check,No,Yes,No,Yes,1,high,39,87,33.31,increasing,0.128,4.35,3,negative,whatsapp,sms,call,email,0.24,0.1,0.51,0.12,35.26,0,6,4,0.12,0.5,converted,semi-urban,high,premium,shared
CUST06364,Male,41,15,One year,Fiber optic,37.8,554.71,Electronic check,Yes,No,No,Yes,0,low,28,23,36.62,increasing,0.053,1.43,4,negative,email,email,sms,call,0.51,0.16,0.77,0.3,19.1,1,14,11,0.24,0.64,converted,semi-urban,low,mid-range,family
CUST00440,Male,52,26,Month-to-month,DSL,64.96,1641.69,Mailed check,No,No,No,Yes,0,low,42,70,38.66,increasing,0.028,5.0,3,positive,call,call,email,whatsapp,0.89,0.18,0.6,0.07,30.43,1,17,2,0.1,0.87,clicked,semi-urban,middle,premium,shared
CUST02751,Female,42,71,Month-to-month,No,20.0,1332.01,Credit card,Yes,Yes,No,Yes,1,medium,16,23,6.28,decreasing,0.096,3.66,1,neutral,whatsapp,whatsapp,sms,email,0.1,0.39,0.73,0.05,54.69,1,1,7,0.19,1.0,ignored,urban,high,mid-range,family
CUST07488,Male,77,22,Month-to-month,Fiber optic,51.06,1147.14,Bank transfer,No,Yes,No,No,1,high,46,64,45.88,decreasing,0.083,3.6,4,positive,call,email,whatsapp,sms,0.11,0.44,0.69,0.13,59.6,1,0,4,0.14,0.61,ignored,rural,middle,premium,shared
CUST05273,Male,23,36,Month-to-month,DSL,46.79,1641.51,Electronic check,No,No,No,Yes,0,high,33,71,12.28,decreasing,0.047,1.36,1,positive,email,call,email,whatsapp,0.89,0.46,0.61,0.19,40.63,0,18,2,0.05,0.89,clicked,urban,low,mid-range,shared
CUST05654,Female,20,11,Month-to-month,DSL,38.93,399.54,Credit card,Yes,Yes,Yes,Yes,1,high,27,40,2.83,decreasing,0.074,4.59,1,positive,call,call,call,email,0.57,0.49,0.92,0.28,28.05,1,10,14,0.09,0.91,converted,urban,low,budget,single
